,success,length,band
0,1.0,1.0,4
1,200.0,1.335,1530
2,400.0,1.3075,2912
3,600.0,1.315,4406
4,800.0,1.32375,6192
5,1000.0,1.321,7482
6,1111.0,1.3042304230423043,8310
7,1176.0,1.3452380952380953,7870
8,1220.0,1.312295081967213,8222
9,1220.0,1.2975409836065575,8194
10,1250.0,1.2936,8356
11,1261.0,1.3116574147501983,8312
12,1216.0,1.299342105263158,8252
13,1306.0,1.2672281776416539,8456
14,1189.0,1.3019343986543315,8318
15,1310.0,1.2908396946564886,8202
16,1230.0,1.3121951219512196,8134
17,1162.0,1.310671256454389,8016
18,1223.0,1.3107113654946851,8384
19,1179.0,1.3104325699745547,8068
20,1261.0,1.3298969072164948,8082
21,1253.0,1.3280127693535515,8174
22,1236.0,1.3260517799352751,8054
23,1310.0,1.2961832061068703,8388
24,1240.0,1.3008064516129032,8306
25,1225.0,1.313469387755102,8142
